camera_id,intersection
870D7CDB0F6682870F898236FEB0AAA3_4085,Roxas Blvd-Kalaw
98F215CBB59174944294C85BC54F75D3_5150,EDSA-Ortigas-Shaw
98F215CBB59174944294C85BC54F75D3_5151,EDSA-Quezon Ave
98F215CBB59174944294C85BC54F75D3_5155,EDSA-Kamuning
98F215CBB59174944294C85BC54F75D3_5157,EDSA-Ortigas-Shaw
98F215CBB59174944294C85BC54F75D3_5158,EDSA-Ortigas-Shaw
98F215CBB59174944294C85BC54F75D3_5171,Roxas-Padre Burgos
98F215CBB59174944294C85BC54F75D3_5173,Roxas-Padre Burgos
B283A8C105D7340B4EDE2AD51DC7F279_3011,EDSA-Kamuning
B283A8C105D7340B4EDE2AD51DC7F279_3017,EDSA-Aurora
B283A8C105D7340B4EDE2AD51DC7F279_3020,EDSA-Aurora
B283A8C105D7340B4EDE2AD51DC7F279_3022,EDSA-Regalia (P. Tuazon)
B283A8C105D7340B4EDE2AD51DC7F279_3023,EDSA-Ortigas-Shaw
B283A8C105D7340B4EDE2AD51DC7F279_3050,Roxas-Padre Burgos
B283A8C105D7340B4EDE2AD51DC7F279_3055,EDSA-Ortigas-Shaw
