location,intersection
EDSA - QUEZON AVENUE,EDSA-Quezon Ave
EDSA - KAMUNING,EDSA-Kamuning
EDSA - KAMUNING,EDSA-Kamuning
EDSA - AURORA,EDSA-Aurora
EDSA - AURORA,EDSA-Aurora
EDSA - REGALIA (P. TUAZON),EDSA-Regalia (P. Tuazon)
EDSA - ORTIGAS,EDSA-Ortigas-Shaw
EDSA - ORTIGAS,EDSA-Ortigas-Shaw
EDSA - SHAW,EDSA-Ortigas-Shaw
EDSA - SHAW INTERSECTION,EDSA-Ortigas-Shaw
8337 - Ayala NB 1-PTZ,8337-Ayala NB 1-PTZ
EDSA - SHAW,EDSA-Ortigas-Shaw
ROXAS BLVD - KALAW,Roxas Blvd-Kalaw
ROXAS - PADRE BURGOS,Roxas-Padre Burgos
ROXAS BLVD - PADRE,Roxas-Padre Burgos
